epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
-1 -1 -1 -1 -1 -1 -1 -1 -1 291.919 15.6806 10.3212 -1
0 0.000340381 -1 0.0185862 0.0457578 0.45277 0.985462 0.99137 112.208 292.371 15.6155 13.0634 0.368092
1 0.000116626 -1 0.0124678 0.0455485 0.402909 0.983729 0.991072 111.937 292.367 15.9399 13.5069 0.360003
2 8.57264e-05 -1 0.00947004 0.0470071 0.377273 0.983152 0.991039 112.13 292.543 16.0717 13.6038 0.356678
3 6.94166e-05 -1 0.00834358 0.048325 0.348868 0.982637 0.991034 112.324 292.777 16.2194 13.6542 0.355728
4 5.8771e-05 -1 0.00778939 0.0494896 0.324967 0.982259 0.991048 112.586 293.008 16.3378 13.6751 0.355376
5 5.10084e-05 -1 0.00786385 0.050569 0.313144 0.982248 0.991188 113.097 293.247 16.3724 13.6174 0.356315
6 4.50073e-05 -1 0.00856345 0.0511588 0.291142 0.981996 0.991248 113.393 293.497 16.4789 13.5924 0.357207
7 4.01933e-05 -1 0.00915873 0.0520395 0.281989 0.982207 0.991311 113.652 293.724 16.3959 13.5682 0.358586
8 3.61572e-05 -1 0.0101223 0.052457 0.274835 0.982293 0.991483 114.267 293.949 16.4065 13.491 0.359911
9 3.27697e-05 -1 0.0112143 0.0529811 0.25603 0.982382 0.99147 114.118 294.188 16.3653 13.4809 0.361939
10 2.98778e-05 -1 0.0124399 0.0531975 0.245732 0.982425 0.991582 114.479 294.396 16.3797 13.4224 0.363116
11 2.7327e-05 -1 0.0137592 0.0533224 0.237248 0.982552 0.991683 114.783 294.598 16.3553 13.3683 0.364837
12 2.51258e-05 -1 0.0151187 0.0536491 0.227481 0.982664 0.991745 115.036 294.804 16.3168 13.339 0.366415
13 2.31623e-05 -1 0.0164204 0.0538699 0.220619 0.982821 0.991834 115.288 294.988 16.2746 13.2902 0.36828
14 2.144e-05 -1 0.0177641 0.0538883 0.218498 0.983053 0.991977 115.64 295.159 16.2246 13.2109 0.36977
15 1.99e-05 -1 0.0190459 0.0541278 0.210541 0.983198 0.992008 115.762 295.331 16.1605 13.1946 0.371321
16 1.8514e-05 -1 0.0204535 0.0541579 0.202919 0.983325 0.992073 115.904 295.497 16.1253 13.152 0.372975
17 1.72601e-05 -1 0.0217528 0.0541746 0.197186 0.983445 0.992157 116.107 295.649 16.0992 13.1009 0.374515
18 1.61437e-05 -1 0.0231824 0.0541625 0.192753 0.983587 0.992236 116.368 295.806 16.0557 13.0584 0.376323
19 1.51122e-05 -1 0.0243895 0.0542705 0.187961 0.983721 0.992294 116.523 295.943 16.0098 13.023 0.377766
20 1.4194e-05 -1 0.0256843 0.054274 0.182468 0.983845 0.99236 116.632 296.078 15.977 12.977 0.379343
21 1.33489e-05 -1 0.0269546 0.0543296 0.176411 0.983975 0.992385 116.699 296.214 15.9175 12.9605 0.380568
22 1.258e-05 -1 0.0282192 0.0542868 0.172723 0.984028 0.992461 116.992 296.337 15.9107 12.9196 0.381941
23 1.18836e-05 -1 0.02927 0.0542782 0.172701 0.9842 0.992537 117.217 296.445 15.8509 12.8784 0.383207
24 1.12346e-05 -1 0.0303167 0.0542796 0.169631 0.984325 0.992581 117.33 296.552 15.8016 12.8504 0.384089
25 1.06461e-05 -1 0.0314654 0.054272 0.167003 0.98444 0.992645 117.489 296.66 15.7668 12.8096 0.385708
26 1.01029e-05 -1 0.0325448 0.054301 0.163091 0.984497 0.992679 117.622 296.755 15.7405 12.7891 0.386834
27 9.59762e-06 -1 0.0335112 0.0542827 0.160301 0.984615 0.992712 117.689 296.849 15.6896 12.7667 0.387984
28 9.13998e-06 -1 0.0345086 0.0542633 0.15676 0.984695 0.992761 117.766 296.94 15.6678 12.7299 0.388776
29 8.70746e-06 -1 0.0354189 0.0542079 0.155488 0.984797 0.992808 117.906 297.022 15.6286 12.7009 0.389988
30 8.30114e-06 -1 0.0363258 0.0542301 0.152736 0.984884 0.992843 117.964 297.1 15.5937 12.6753 0.39095
31 7.94186e-06 -1 0.037281 0.0541482 0.15153 0.984977 0.992889 118.091 297.175 15.5581 12.6458 0.391894
32 7.59448e-06 -1 0.0381754 0.054128 0.147414 0.984988 0.992913 118.203 297.251 15.55 12.63 0.392909
33 7.27396e-06 -1 0.0389476 0.0540842 0.147331 0.985103 0.992974 118.309 297.318 15.5154 12.5874 0.39355
34 6.97099e-06 -1 0.0397336 0.0540693 0.146352 0.985169 0.993014 118.437 297.378 15.4887 12.5624 0.394499
35 6.69196e-06 -1 0.0405592 0.0540797 0.143485 0.985213 0.99303 118.506 297.443 15.4611 12.5517 0.395427
36 6.42567e-06 -1 0.0412464 0.0539881 0.144628 0.985336 0.993086 118.612 297.496 15.4193 12.5133 0.39592
37 6.18838e-06 -1 0.0419722 0.0539825 0.140085 0.985372 0.993098 118.564 297.556 15.4014 12.4962 0.3967
38 5.9532e-06 -1 0.0426856 0.0539353 0.139627 0.985452 0.99313 118.65 297.609 15.3654 12.4749 0.397334
39 5.7353e-06 -1 0.0434129 0.0539441 0.137469 0.985494 0.993147 118.713 297.661 15.34 12.4625 0.398097
40 5.53363e-06 -1 0.0439812 0.0539323 0.137307 0.985561 0.993188 118.829 297.71 15.3153 12.4352 0.398603
