epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
-1 -1 -1 -1 -1 -1 -1 -1 -1 296.029 13.5001 11.6402 -1
0 0.000465155 -1 0.135817 0.0488754 0.647358 0.993517 0.996436 134.254 313.584 11.4354 9.83118 0.500655
1 0.000107518 -1 0.157157 0.0725824 0.652956 0.993401 0.996385 134.457 314.33 11.5684 9.86991 0.49251
2 6.81392e-05 -1 0.169983 0.0843752 0.653976 0.993297 0.996358 134.683 314.519 11.6499 9.8827 0.487006
3 4.91078e-05 -1 0.177059 0.0915332 0.630105 0.993099 0.996268 134.085 314.151 11.7381 9.90465 0.483815
4 3.76701e-05 -1 0.182206 0.0960499 0.624811 0.993047 0.99626 134.115 313.819 11.7372 9.89676 0.481232
5 3.02056e-05 -1 0.185311 0.0993504 0.601674 0.992944 0.9962 133.521 313.26 11.7433 9.90247 0.479832
6 2.49576e-05 -1 0.187803 0.10169 0.58005 0.992846 0.996145 133.032 312.727 11.7497 9.90818 0.478731
7 2.10305e-05 -1 0.188927 0.103415 0.561828 0.992756 0.996108 132.727 312.177 11.7555 9.90449 0.477988
8 1.80741e-05 -1 0.189877 0.105068 0.543997 0.992731 0.996099 132.333 311.639 11.7191 9.88706 0.477539
9 1.57553e-05 -1 0.190648 0.106246 0.522765 0.992625 0.996045 131.983 311.126 11.7368 9.8945 0.477086
10 1.39013e-05 -1 0.191112 0.107385 0.497373 0.992546 0.995998 131.457 310.595 11.7356 9.89431 0.476951
11 1.23775e-05 -1 0.191358 0.108135 0.485498 0.992537 0.995995 131.302 310.158 11.6969 9.88806 0.476687
12 1.11492e-05 -1 0.19145 0.109081 0.46142 0.992464 0.995956 130.847 309.676 11.6981 9.88585 0.476404
13 1.0119e-05 -1 0.191414 0.109896 0.444695 0.992424 0.995935 130.596 309.255 11.6832 9.88494 0.476543
14 9.2321e-06 -1 0.191488 0.110605 0.418179 0.992342 0.995893 130.098 308.805 11.6949 9.88244 0.476377
15 8.48398e-06 -1 0.191425 0.111433 0.399738 0.992294 0.995888 129.821 308.412 11.6929 9.8676 0.476366
16 7.81179e-06 -1 0.19143 0.111942 0.387941 0.992269 0.995865 129.699 308.08 11.6731 9.87822 0.476339
17 7.24986e-06 -1 0.191266 0.112522 0.366177 0.992214 0.995829 129.321 307.696 11.6707 9.88317 0.476417
18 6.7511e-06 -1 0.191156 0.113217 0.347903 0.992176 0.995824 129.03 307.348 11.6648 9.87173 0.476564
19 6.30135e-06 -1 0.190985 0.113704 0.330647 0.992134 0.995797 128.762 307.021 11.6591 9.87758 0.476463
20 5.92465e-06 -1 0.190833 0.114287 0.315376 0.992086 0.995776 128.566 306.721 11.6611 9.88338 0.476585
21 5.56765e-06 -1 0.190698 0.114694 0.300896 0.992074 0.99577 128.318 306.424 11.6369 9.89219 0.476723
22 5.25824e-06 -1 0.190573 0.115187 0.285251 0.992018 0.995748 128.114 306.147 11.6485 9.89233 0.47665
23 4.9729e-06 -1 0.190435 0.115714 0.270757 0.991989 0.995735 127.887 305.873 11.6399 9.89652 0.476669
24 4.7205e-06 -1 0.190221 0.116055 0.257678 0.991963 0.995724 127.684 305.617 11.6303 9.9037 0.47692
25 4.48266e-06 -1 0.190211 0.116526 0.248581 0.991949 0.995704 127.598 305.394 11.618 9.9017 0.476669
26 4.26745e-06 -1 0.189967 0.116898 0.230111 0.99189 0.995696 127.245 305.123 11.6284 9.91348 0.476897
27 4.0727e-06 -1 0.189848 0.11735 0.219197 0.991864 0.995678 127.096 304.906 11.6248 9.9123 0.477008
28 3.89358e-06 -1 0.189764 0.117604 0.213085 0.991853 0.995662 127.072 304.723 11.6132 9.91684 0.476939
29 3.72451e-06 -1 0.189575 0.118046 0.197843 0.991806 0.995653 126.768 304.485 11.6192 9.92464 0.477096
30 3.57614e-06 -1 0.189493 0.118379 0.188061 0.991779 0.995642 126.61 304.287 11.6165 9.93204 0.477122
31 3.43423e-06 -1 0.189312 0.118756 0.178374 0.99177 0.99563 126.417 304.087 11.6012 9.93185 0.477185
32 3.30448e-06 -1 0.189217 0.119126 0.169165 0.991746 0.995614 126.264 303.902 11.5988 9.93226 0.477162
33 3.1788e-06 -1 0.189111 0.119396 0.162099 0.991728 0.995607 126.146 303.73 11.5918 9.94221 0.477205
34 3.06068e-06 -1 0.188969 0.119582 0.15245 0.991688 0.995595 125.969 303.554 11.6004 9.94731 0.477265
