epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
-1 -1 -1 -1 -1 -1 -1 -1 -1 297.972 15.2331 12.723 -1
0 0.00185894 -1 0.0618713 0.0681688 0.436884 0.905825 0.980214 60.9069 284.229 26.6974 15.3518 0.62364
1 0.000371906 -1 0.0789272 0.111119 0.521139 0.930755 0.982269 73.1991 287.991 26.1316 13.615 0.629577
2 0.00021587 -1 0.0926812 0.135677 0.579377 0.93952 0.9834 78.8858 290.153 25.775 12.5305 0.640761
3 0.00014371 -1 0.103705 0.150562 0.583017 0.94455 0.983891 82.6453 290.967 25.4102 11.877 0.652125
4 0.000103547 -1 0.112924 0.160476 0.600484 0.947831 0.984576 84.6733 291.629 25.0079 11.3667 0.661962
5 7.88038e-05 -1 0.120951 0.16736 0.613091 0.949618 0.984908 86.1089 292.097 24.8391 10.9856 0.670654
6 6.26432e-05 -1 0.127058 0.172213 0.6043 0.951262 0.985052 87.7502 292.238 24.6549 10.6916 0.67811
7 5.1503e-05 -1 0.132005 0.175613 0.612055 0.952642 0.985418 88.575 292.492 24.4185 10.4439 0.684533
8 4.34469e-05 -1 0.135965 0.178258 0.605102 0.953546 0.985547 89.4254 292.505 24.2716 10.2596 0.690168
9 3.7412e-05 -1 0.139198 0.179973 0.61537 0.954399 0.985833 89.9521 292.742 24.1215 10.073 0.694582
10 3.27735e-05 -1 0.14215 0.181207 0.613815 0.955278 0.985963 90.7762 292.869 23.993 9.9127 0.699134
11 2.91718e-05 -1 0.144211 0.182139 0.609571 0.956035 0.986132 91.3364 292.884 23.8303 9.79129 0.702459
12 2.62216e-05 -1 0.146622 0.183051 0.6078 0.956279 0.986143 91.9236 292.945 23.8251 9.6718 0.706062
13 2.38149e-05 -1 0.148284 0.183611 0.614011 0.956794 0.986377 92.3444 293.112 23.7439 9.55241 0.709067
14 2.1814e-05 -1 0.149776 0.183989 0.610924 0.957345 0.986669 92.8395 293.147 23.6323 9.45777 0.711735
15 2.01065e-05 -1 0.151029 0.184299 0.611887 0.957755 0.986904 93.3001 293.234 23.5626 9.36004 0.71417
16 1.86435e-05 -1 0.152201 0.184367 0.610401 0.958039 0.987116 93.7868 293.291 23.5262 9.27391 0.716495
17 1.74019e-05 -1 0.153297 0.184492 0.613973 0.958477 0.987343 94.2384 293.426 23.4547 9.18113 0.719016
18 1.62667e-05 -1 0.154034 0.184495 0.617943 0.958921 0.987539 94.602 293.549 23.3686 9.0985 0.720567
19 1.53085e-05 -1 0.154883 0.184739 0.610396 0.959137 0.987717 95.0413 293.507 23.3286 9.03964 0.722288
20 1.44478e-05 -1 0.155574 0.184738 0.614711 0.959342 0.987843 95.3619 293.62 23.3049 8.96558 0.723928
21 1.36628e-05 -1 0.156308 0.184848 0.618301 0.959598 0.98798 95.6942 293.727 23.2663 8.89443 0.725659
22 1.2952e-05 -1 0.156977 0.184742 0.618629 0.959856 0.988159 96.1692 293.819 23.2386 8.82349 0.727386
23 1.23106e-05 -1 0.157515 0.184854 0.622203 0.960081 0.988257 96.3892 293.902 23.194 8.76503 0.72878
24 1.17433e-05 -1 0.157911 0.184888 0.622556 0.960229 0.988348 96.6702 293.945 23.1679 8.71166 0.730049
25 1.12136e-05 -1 0.158523 0.184884 0.623927 0.960378 0.988458 97.0105 294.021 23.1553 8.6541 0.731367
26 1.07125e-05 -1 0.158741 0.184852 0.619896 0.960705 0.988617 97.3921 294.031 23.0799 8.60644 0.732569
27 1.02681e-05 -1 0.159202 0.184793 0.625316 0.960786 0.988674 97.6131 294.138 23.0814 8.55124 0.733664
28 9.85077e-06 -1 0.159618 0.184796 0.62953 0.961003 0.988757 97.833 294.232 23.039 8.50025 0.734613
29 9.45988e-06 -1 0.159974 0.184631 0.632277 0.961161 0.98886 98.197 294.334 23.0262 8.44416 0.735708
30 9.10674e-06 -1 0.16023 0.184701 0.633717 0.961385 0.988958 98.4437 294.397 22.9799 8.3997 0.736779
31 8.77142e-06 -1 0.160597 0.184793 0.63142 0.961434 0.989035 98.768 294.412 22.9832 8.35986 0.737603
32 8.44967e-06 -1 0.160912 0.184785 0.636991 0.961555 0.989088 98.9628 294.521 22.9706 8.31294 0.73855
33 8.1685e-06 -1 0.161096 0.184707 0.635843 0.96175 0.989185 99.252 294.553 22.929 8.27532 0.739217
34 7.89944e-06 -1 0.161238 0.184669 0.636139 0.962 0.989289 99.5453 294.61 22.8742 8.23547 0.740104
35 7.64699e-06 -1 0.161566 0.184698 0.640701 0.962008 0.989308 99.7037 294.692 22.8883 8.19674 0.740834
36 7.39923e-06 -1 0.161766 0.184592 0.642437 0.962128 0.989379 99.9992 294.765 22.8755 8.15629 0.741773
37 7.17196e-06 -1 0.161959 0.184655 0.644531 0.962287 0.989445 100.212 294.83 22.8449 8.12089 0.742461
38 6.94564e-06 -1 0.162285 0.184601 0.648054 0.962437 0.989513 100.454 294.923 22.8238 8.08226 0.74321
39 6.75502e-06 -1 0.162402 0.184568 0.649582 0.962558 0.989567 100.666 294.977 22.8017 8.0501 0.744045
40 6.56815e-06 -1 0.162595 0.184505 0.652168 0.96265 0.98962 100.898 295.052 22.7944 8.0158 0.744613
41 6.37967e-06 -1 0.162795 0.184545 0.650935 0.962703 0.989676 101.172 295.075 22.7926 7.98745 0.745223
42 6.20643e-06 -1 0.162943 0.184491 0.653471 0.962887 0.989733 101.357 295.143 22.7504 7.95719 0.745855
43 6.04415e-06 -1 0.163135 0.184452 0.65716 0.962969 0.989767 101.534 295.222 22.7427 7.92616 0.74652
44 5.89061e-06 -1 0.163258 0.184404 0.659188 0.963077 0.98981 101.726 295.28 22.7232 7.89847 0.747155
45 5.73775e-06 -1 0.163469 0.18438 0.661045 0.96322 0.98987 101.959 295.348 22.6981 7.86966 0.747831
46 5.5908e-06 -1 0.163661 0.184419 0.661489 0.96325 0.989906 102.181 295.387 22.7026 7.84537 0.748421
47 5.45922e-06 -1 0.16383 0.18438 0.665329 0.963349 0.989937 102.333 295.466 22.6876 7.81833 0.748861
48 5.33259e-06 -1 0.163919 0.18436 0.669019 0.963495 0.989989 102.527 295.558 22.6639 7.79113 0.749512
49 5.20995e-06 -1 0.164013 0.184378 0.670758 0.963582 0.99003 102.714 295.614 22.6522 7.76839 0.749923
50 5.08375e-06 -1 0.164171 0.184414 0.671074 0.963645 0.99007 102.934 295.653 22.6457 7.74726 0.750471
51 4.98056e-06 -1 0.16432 0.184376 0.673051 0.963744 0.990109 103.11 295.712 22.6296 7.72582 0.750864
52 4.88084e-06 -1 0.16446 0.184326 0.674705 0.963893 0.990157 103.297 295.769 22.5964 7.70496 0.751493
