epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
-1 -1 -1 -1 -1 -1 -1 -1 -1 292.337 16.5496 13.6018 -1
0 0.00145862 -1 0.0234204 0.00297511 0.808886 0.861371 0.957672 38.8676 260.289 22.9833 17.1306 0.400073
1 0.000335263 -1 0.002592 0.00765233 0.767295 0.885643 0.965578 47.7527 263.602 22.3356 17.6932 0.360419
2 0.000221586 -1 0.0162376 0.0156833 0.725408 0.906543 0.970852 57.5661 266.947 22.2568 17.1338 0.333969
3 0.000162124 -1 0.0255049 0.021405 0.666297 0.92119 0.974868 67.2314 270.615 22.5597 15.9327 0.319218
4 0.000124305 -1 0.0321256 0.0257147 0.596762 0.930648 0.977632 75.5985 274.015 22.8875 14.6815 0.311231
5 9.84233e-05 -1 0.0373598 0.0295741 0.525551 0.937666 0.979677 82.4485 276.968 23.0038 13.6469 0.308067
6 7.99658e-05 -1 0.0422188 0.0335987 0.446207 0.942527 0.981171 88.0121 279.556 23.105 12.8002 0.307384
7 6.60148e-05 -1 0.0461784 0.0373038 0.37084 0.946191 0.982298 92.4044 281.671 23.1167 12.1573 0.30777
8 5.54245e-05 -1 0.0498488 0.0409401 0.302859 0.949005 0.983136 96.014 283.386 23.0846 11.6594 0.308691
9 4.7021e-05 -1 0.0531164 0.0441325 0.226603 0.951059 0.983884 98.7937 284.923 23.0954 11.2344 0.310483
10 4.04364e-05 -1 0.0562914 0.0475051 0.162364 0.952962 0.984503 101.237 286.193 23.0282 10.9126 0.312513
11 3.50711e-05 -1 0.0589355 0.0507903 0.106888 0.95447 0.9853 103.282 287.227 22.9619 10.6666 0.313788
12 3.07214e-05 -1 0.0614531 0.0536661 0.0522459 0.955892 0.985961 104.998 288.175 22.869 10.4653 0.315481
13 2.71305e-05 -1 0.0634005 0.056142 0.00797314 0.957159 0.986494 106.449 288.936 22.7445 10.2851 0.316713
14 2.41509e-05 -1 0.0654852 0.0586345 0.0430939 0.958024 0.986897 107.68 289.683 22.7147 10.1246 0.318149
15 2.16344e-05 -1 0.0671694 0.0607918 0.0807445 0.95882 0.987268 108.813 290.262 22.652 9.99973 0.319553
16 1.95444e-05 -1 0.0686992 0.0628607 0.115099 0.959623 0.987602 109.806 290.789 22.5663 9.89353 0.320728
17 1.77467e-05 -1 0.0701176 0.0647492 0.150042 0.960332 0.987875 110.628 291.293 22.4951 9.79792 0.321744
18 1.61988e-05 -1 0.0715309 0.0665241 0.180531 0.960866 0.988108 111.436 291.717 22.4495 9.70077 0.322804
19 1.48732e-05 -1 0.0726971 0.068115 0.20906 0.961427 0.988326 112.117 292.121 22.3883 9.62649 0.32354
20 1.37268e-05 -1 0.0739124 0.0697166 0.234649 0.96176 0.988504 112.767 292.464 22.3777 9.56454 0.324487
21 1.27087e-05 -1 0.0748856 0.0711196 0.256294 0.962177 0.988677 113.351 292.769 22.3297 9.5068 0.325197
22 1.18438e-05 -1 0.0758031 0.0723499 0.278806 0.962546 0.988813 113.838 293.068 22.2919 9.44093 0.325895
23 1.10627e-05 -1 0.07662 0.0735692 0.299562 0.962835 0.988943 114.292 293.348 22.2743 9.39865 0.326341
24 1.03736e-05 -1 0.077309 0.0746816 0.315437 0.963168 0.989075 114.743 293.575 22.2278 9.35432 0.32663
25 9.75734e-06 -1 0.0781331 0.0756635 0.331924 0.963411 0.98918 115.148 293.794 22.2063 9.30797 0.327404
26 9.20028e-06 -1 0.0787471 0.0765111 0.347118 0.96364 0.989269 115.498 293.994 22.1831 9.26104 0.327875
27 8.71129e-06 -1 0.0793704 0.077505 0.359941 0.963852 0.989365 115.866 294.171 22.1597 9.22725 0.328227
28 8.26759e-06 -1 0.079922 0.0782568 0.372212 0.964118 0.989455 116.168 294.35 22.1189 9.19455 0.328675
