epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
-1 -1 -1 -1 -1 -1 -1 -1 -1 291.844 15.4707 11.8658 -1
0 0.000455326 -1 0.117508 0.133859 0.940222 0.989656 0.993109 81.3484 276.264 16.4576 7.32119 0.592799
1 0.000109701 -1 0.153631 0.165304 0.943022 0.989107 0.992799 79.1259 275.292 16.5798 7.36679 0.582256
2 6.3938e-05 -1 0.173576 0.179437 0.943141 0.989659 0.992899 79.8467 275.506 16.284 7.33759 0.574899
3 4.33622e-05 -1 0.186901 0.186963 0.940289 0.990402 0.99308 81.2611 276.161 15.876 7.33822 0.568372
4 3.18407e-05 -1 0.196418 0.19161 0.936266 0.990949 0.993397 82.9619 276.964 15.4275 7.36417 0.564216
5 2.45609e-05 -1 0.204209 0.193948 0.931452 0.991462 0.993629 84.5206 277.756 15.0242 7.39386 0.559963
6 1.96809e-05 -1 0.210534 0.195515 0.928357 0.991961 0.993754 86.1381 278.41 14.6714 7.41703 0.556772
7 1.62759e-05 -1 0.215711 0.196904 0.922883 0.992252 0.994035 87.477 279.162 14.3144 7.43709 0.554044
8 1.37894e-05 -1 0.220223 0.197845 0.920496 0.992667 0.99411 88.93 279.723 14.0225 7.43886 0.551524
9 1.1862e-05 -1 0.224591 0.198535 0.916301 0.992921 0.994326 90.0381 280.33 13.742 7.42376 0.549084
10 1.0384e-05 -1 0.228133 0.198981 0.912424 0.993166 0.994443 91.1903 280.875 13.4876 7.4358 0.547107
11 9.19514e-06 -1 0.231128 0.199864 0.907996 0.993352 0.994557 92.2666 281.401 13.2485 7.45993 0.545572
12 8.23396e-06 -1 0.234085 0.200482 0.904497 0.993539 0.994657 93.2485 281.866 13.0373 7.46265 0.543789
13 7.43691e-06 -1 0.236906 0.201007 0.900342 0.993704 0.99478 94.1036 282.334 12.8398 7.45538 0.542437
14 6.78539e-06 -1 0.239353 0.201519 0.896947 0.993835 0.994829 95.0084 282.725 12.6623 7.47824 0.541171
15 6.2309e-06 -1 0.241519 0.202107 0.892277 0.993955 0.994928 95.7798 283.159 12.4883 7.48439 0.540053
16 5.7552e-06 -1 0.243666 0.202718 0.888631 0.994043 0.995026 96.5153 283.525 12.329 7.49011 0.538921
17 5.32842e-06 -1 0.245599 0.203106 0.884431 0.994146 0.995072 97.2124 283.887 12.1885 7.50274 0.537794
18 4.96945e-06 -1 0.247465 0.203736 0.881257 0.994249 0.995144 97.8874 284.218 12.0519 7.49503 0.536908
19 4.6576e-06 -1 0.249039 0.204221 0.876782 0.994306 0.995209 98.52 284.553 11.92 7.51438 0.536089
20 4.37589e-06 -1 0.25068 0.204787 0.873525 0.994379 0.995261 99.1356 284.845 11.8015 7.51854 0.535248
21 4.1253e-06 -1 0.252245 0.205234 0.87001 0.994452 0.995326 99.6892 285.136 11.6888 7.51381 0.534401
22 3.90453e-06 -1 0.253576 0.205684 0.865339 0.994477 0.995363 100.245 285.421 11.5806 7.54637 0.533772
23 3.70192e-06 -1 0.254927 0.206189 0.86107 0.994537 0.995422 100.73 285.707 11.4791 7.54582 0.533119
24 3.52435e-06 -1 0.256262 0.206554 0.857557 0.994585 0.99546 101.228 285.954 11.3868 7.55284 0.532494
25 3.36121e-06 -1 0.257462 0.206964 0.854562 0.994654 0.995519 101.7 286.199 11.2953 7.53739 0.531846
26 3.21465e-06 -1 0.258605 0.207367 0.850365 0.994689 0.99556 102.147 286.443 11.2091 7.54819 0.531256
27 3.07383e-06 -1 0.259793 0.20776 0.845713 0.994718 0.995595 102.541 286.682 11.1308 7.56116 0.530721
