epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
-1 -1 -1 -1 -1 -1 -1 -1 -1 299.399 20.3542 9.44772 -1
0 0.000734698 -1 0.0524736 0.0516113 0.773156 0.987162 0.987162 116.497 293.757 28.4596 12.802 0.322434
1 0.00020864 -1 0.0731156 0.0385295 0.76036 0.987382 0.987382 117.552 294.609 27.909 12.8028 0.336877
2 0.000138508 -1 0.0828868 0.0316455 0.746732 0.987538 0.987538 117.762 295.106 27.2344 12.7869 0.342873
3 0.000106826 -1 0.0898142 0.0270648 0.73724 0.987699 0.987699 117.65 295.388 26.7769 12.7508 0.348096
4 8.75532e-05 -1 0.0959379 0.0231472 0.732232 0.987838 0.987838 117.309 295.442 26.5255 12.7002 0.353542
5 7.41812e-05 -1 0.100234 0.0197459 0.721989 0.987932 0.987932 117.327 295.689 26.0969 12.6742 0.356294
6 6.42466e-05 -1 0.104591 0.016552 0.718121 0.988092 0.988092 117.509 295.962 25.9313 12.6271 0.360063
7 5.64148e-05 -1 0.107994 0.0134011 0.711564 0.988152 0.988152 117.383 295.99 25.5885 12.5738 0.361967
8 5.01073e-05 -1 0.111365 0.0108348 0.708904 0.988306 0.988306 117.401 296.114 25.4087 12.491 0.364501
9 4.48554e-05 -1 0.114481 0.00810305 0.706431 0.988369 0.988369 117.204 296.055 25.2405 12.4406 0.366493
10 4.04104e-05 -1 0.117367 0.00538051 0.703306 0.988489 0.988489 117.452 296.278 25.0656 12.3909 0.368593
11 3.66269e-05 -1 0.119996 0.00281771 0.700217 0.988586 0.988586 117.563 296.391 24.8557 12.3274 0.370203
12 3.33644e-05 -1 0.122749 0.000420617 0.700017 0.988686 0.988686 117.489 296.391 24.7769 12.2692 0.372124
13 3.04994e-05 -1 0.124938 0.00187061 0.697608 0.988779 0.988779 117.626 296.518 24.6101 12.2164 0.373
14 2.79425e-05 -1 0.127261 0.00417494 0.695483 0.988877 0.988877 117.78 296.651 24.451 12.1601 0.374391
15 2.57287e-05 -1 0.129452 0.00628288 0.694941 0.988965 0.988965 117.75 296.657 24.3426 12.0985 0.375917
16 2.37205e-05 -1 0.131421 0.00834506 0.693469 0.989034 0.989034 117.705 296.668 24.2291 12.0547 0.377146
17 2.19465e-05 -1 0.13351 0.0103781 0.69257 0.989104 0.989104 117.687 296.67 24.1131 12.0017 0.37851
18 2.03646e-05 -1 0.135247 0.0122883 0.691627 0.989195 0.989195 117.86 296.799 24.0031 11.9533 0.379492
