epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
-1 -1 -1 -1 -1 -1 -1 -1 -1 17.9693 3.72858 0.082271 -1
0 0.0246332 -1 0.115754 0.19617 0.980544 0.851367 0.992352 1.89969 16.5809 1.33623 0.168698 0.00417211
100 0.00137005 -1 0.353819 0.0741332 0.977189 0.763785 0.967732 4.75637 16.1843 3.09117 0.198961 0.295402
200 0.000113081 -1 0.34776 0.0756633 0.960831 0.775781 0.967395 4.99156 16.2412 3.1167 0.206531 0.296927
300 0.00010019 -1 0.344002 0.075504 0.94295 0.783806 0.967057 5.17096 16.2844 3.13681 0.212166 0.299158
400 8.97676e-05 -1 0.34125 0.0743719 0.92138 0.790686 0.966616 5.33781 16.3231 3.15521 0.217506 0.29987
500 8.13971e-05 -1 0.340154 0.0723511 0.903761 0.794372 0.966228 5.45011 16.3465 3.17131 0.221012 0.301172
600 7.46328e-05 -1 0.339894 0.0697971 0.886845 0.796979 0.965783 5.546 16.3634 3.18755 0.224035 0.301595
700 6.91487e-05 -1 0.340255 0.0668646 0.872022 0.798576 0.965332 5.62319 16.374 3.20322 0.226477 0.301492
800 6.45473e-05 -1 0.341203 0.0636778 0.859855 0.799276 0.964882 5.68367 16.379 3.21875 0.228371 0.301067
900 6.07412e-05 -1 0.342605 0.0602812 0.84989 0.79934 0.964427 5.73241 16.3798 3.23441 0.229878 0.300358
1000 5.75051e-05 -1 0.344415 0.0567358 0.843049 0.798691 0.963989 5.76713 16.376 3.25006 0.230888 0.299588
1100 5.47043e-05 -1 0.346265 0.0531355 0.835763 0.798173 0.963541 5.80313 16.3725 3.26514 0.231969 0.298274
1200 5.23378e-05 -1 0.348528 0.0494353 0.832123 0.796889 0.963122 5.82459 16.3644 3.28054 0.232504 0.297189
1300 5.02174e-05 -1 0.350836 0.0456793 0.827863 0.795754 0.962691 5.84854 16.357 3.29568 0.233134 0.295785
1400 4.84034e-05 -1 0.35331 0.0418799 0.825669 0.794246 0.96229 5.86446 16.3475 3.31063 0.233458 0.294478
1500 4.67678e-05 -1 0.355935 0.0380283 0.824408 0.792555 0.961897 5.87702 16.337 3.32566 0.233635 0.293203
1600 4.53239e-05 -1 0.358476 0.0342304 0.822242 0.791128 0.961516 5.89275 16.3281 3.33985 0.233951 0.291626
1700 4.40016e-05 -1 0.361276 0.030367 0.82278 0.789141 0.961173 5.89828 16.3165 3.35441 0.233849 0.290487
