epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
-1 -1 -1 -1 -1 -1 -1 -1 -1 14.2776 1.87455 0.0162888 -1
0 0.00914749 -1 0.0633183 1.08455 0.979251 0.999426 0.999976 10.6945 20.2844 0.298934 0.0576978 0.678869
100 0.00074426 -1 0.199641 1.06406 0.984629 0.99806 0.999989 9.65481 19.7723 0.535315 0.0348444 0.624928
200 0.000367412 -1 0.339463 1.08934 0.983874 0.997984 0.999991 9.80934 19.8523 0.552041 0.0303255 0.617597
300 0.000284151 -1 0.446626 1.10014 0.983287 0.997951 0.999992 9.91584 19.9074 0.56102 0.0277356 0.609358
400 0.000230798 -1 0.529995 1.10484 0.982075 0.997847 0.999993 9.96001 19.9306 0.576629 0.0261417 0.603173
500 0.000193394 -1 0.597083 1.10573 0.98097 0.997747 0.999993 9.98367 19.9431 0.590634 0.0250998 0.597547
600 0.000165534 -1 0.65225 1.10386 0.980155 0.997669 0.999993 10.0007 19.9519 0.601292 0.0243929 0.591472
700 0.000143826 -1 0.698005 1.10081 0.979406 0.99759 0.999993 10.0063 19.9547 0.611546 0.0239225 0.586036
800 0.000126362 -1 0.736053 1.09747 0.978427 0.997478 0.999993 9.99405 19.9483 0.624863 0.0236473 0.581732
900 0.000112136 -1 0.768549 1.09327 0.977854 0.997403 0.999993 9.98738 19.9446 0.633717 0.0234742 0.576754
1000 0.000100169 -1 0.796076 1.08916 0.977144 0.997307 0.999993 9.97004 19.9354 0.644376 0.0234164 0.57243
1100 9.00259e-05 -1 0.819569 1.08527 0.976354 0.997198 0.999993 9.9451 19.9223 0.656059 0.0234506 0.568709
1200 8.1208e-05 -1 0.83985 1.0814 0.97568 0.997096 0.999993 9.91964 19.9088 0.666505 0.0235444 0.564907
1300 7.36233e-05 -1 0.857398 1.07768 0.975053 0.996997 0.999993 9.89216 19.8944 0.676446 0.0236953 0.561081
1400 6.69649e-05 -1 0.872599 1.07442 0.974368 0.996887 0.999993 9.8598 19.8774 0.686934 0.0239008 0.557832
1500 6.10062e-05 -1 0.88587 1.0713 0.973807 0.99679 0.999993 9.82861 19.861 0.696031 0.0241437 0.554306
1600 5.57423e-05 -1 0.897394 1.06861 0.973151 0.99668 0.999992 9.79264 19.8422 0.705933 0.0244312 0.551155
1700 5.09881e-05 -1 0.907487 1.06616 0.972563 0.996576 0.999992 9.75683 19.8235 0.714947 0.0247488 0.547904
1800 4.67264e-05 -1 0.916247 1.06416 0.971855 0.996459 0.999992 9.71634 19.8024 0.724848 0.0251068 0.545043
1900 4.28341e-05 -1 0.924082 1.06223 0.971442 0.996374 0.999991 9.68212 19.7846 0.731716 0.025471 0.541604
2000 3.93126e-05 -1 0.93078 1.06085 0.970743 0.996258 0.999991 9.6396 19.7626 0.740902 0.0258821 0.538838
2100 3.60417e-05 -1 0.936557 1.05986 0.969921 0.99613 0.999991 9.59335 19.7388 0.750763 0.0263241 0.536367
2200 3.31039e-05 -1 0.941747 1.05893 0.969367 0.996032 0.99999 9.55293 19.718 0.757898 0.0267656 0.533396
2300 3.03596e-05 -1 0.946041 1.05851 0.968409 0.995894 0.99999 9.50281 19.6924 0.76796 0.0272538 0.531165
2400 2.78392e-05 -1 0.949894 1.05817 0.967707 0.995786 0.999989 9.45832 19.6696 0.77541 0.0277376 0.528501
2500 2.55272e-05 -1 0.953154 1.0581 0.966882 0.995667 0.999989 9.41107 19.6456 0.783346 0.0282428 0.526033
2600 2.33802e-05 -1 0.955861 1.05835 0.965895 0.995536 0.999988 9.36041 19.62 0.791939 0.0287712 0.523912
2700 2.13806e-05 -1 0.958189 1.05868 0.96499 0.995417 0.999988 9.31202 19.5956 0.79933 0.029298 0.521601
2800 1.9548e-05 -1 0.960048 1.05922 0.963909 0.995285 0.999987 9.26065 19.5698 0.807372 0.0298428 0.519486
2900 1.78343e-05 -1 0.961652 1.05987 0.963002 0.995176 0.999987 9.21323 19.5461 0.813617 0.0303804 0.517195
3000 1.62615e-05 -1 0.962863 1.06065 0.961915 0.995054 0.999986 9.16322 19.5212 0.820468 0.0309276 0.5151
3100 1.47996e-05 -1 0.963744 1.06158 0.960714 0.994927 0.999986 9.11209 19.4959 0.827411 0.03148 0.513189
3200 1.34424e-05 -1 0.964333 1.06264 0.959408 0.994798 0.999985 9.06025 19.4703 0.83432 0.032034 0.51143
3300 1.22081e-05 -1 0.964711 1.06368 0.958126 0.994676 0.999985 9.01031 19.4458 0.840461 0.0325766 0.509554
3400 1.10653e-05 -1 0.964877 1.06477 0.956809 0.994559 0.999984 8.96116 19.4218 0.846184 0.0331098 0.507756
3500 1.00199e-05 -1 0.964847 1.06591 0.955443 0.994443 0.999984 8.9127 19.3983 0.851595 0.0336361 0.50602
3600 9.07403e-06 -1 0.964548 1.06712 0.953792 0.99431 0.999983 8.86148 19.3735 0.857866 0.0341626 0.503985
3700 8.19865e-06 -1 0.964164 1.06827 0.95226 0.994195 0.999983 8.8139 19.3506 0.86295 0.034663 0.501595
3800 7.40935e-06 -1 0.963659 1.0694 0.950718 0.994085 0.999982 8.76795 19.3286 0.867576 0.0351457 0.499387
3900 6.69404e-06 -1 0.962993 1.07054 0.949009 0.993968 0.999982 8.7215 19.3065 0.872463 0.0356171 0.497257
4000 6.0476e-06 -1 0.962257 1.07162 0.94734 0.993861 0.999981 8.67751 19.2856 0.876717 0.0360628 0.495319
4100 5.47041e-06 -1 0.961439 1.07265 0.945634 0.993756 0.999981 8.63496 19.2656 0.880728 0.0364868 0.493533
4200 4.94887e-06 -1 0.96057 1.07363 0.943941 0.993658 0.99998 8.5944 19.2465 0.884327 0.0368866 0.491889
