epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
-1 -1 -1 -1 -1 -1 -1 -1 -1 301.553 48.5441 42.1976 -1
0 0.005755 -1 0.192993 0.0908834 0.19337 0.896423 0.936435 128.125 300.618 43.0116 40.2594 0.0992449
1 0.00294806 -1 0.165705 0.0762739 0.163822 0.891235 0.934792 128.32 300.602 43.4794 40.6747 0.133895
2 0.00167183 -1 0.121115 0.0514823 0.117348 0.882715 0.932061 128.668 300.582 44.7842 40.7743 0.177893
3 0.000687636 -1 0.0887175 0.0346132 0.0848152 0.876905 0.930448 128.9 300.569 45.8316 40.5523 0.199768
4 0.000253761 -1 0.0695231 0.0270937 0.0663825 0.874106 0.930576 128.994 300.564 46.3458 40.2897 0.206391
5 0.000110522 -1 0.0568576 0.0242064 0.0544765 0.872741 0.930794 129.023 300.561 46.5921 40.0342 0.205994
6 6.67856e-05 -1 0.0460233 0.0230079 0.0441547 0.871741 0.93102 129.033 300.559 46.7698 39.7803 0.204102
7 5.29667e-05 -1 0.0361569 0.0224453 0.0345974 0.870892 0.931248 129.037 300.557 46.9189 39.5326 0.201313
8 4.7998e-05 -1 0.0263666 0.021974 0.0249759 0.870016 0.931461 129.046 300.556 47.0735 39.2882 0.198581
9 4.56859e-05 -1 0.0170655 0.0215723 0.0157502 0.869192 0.931674 129.05 300.554 47.2177 39.0519 0.19587
10 4.42249e-05 -1 0.00779822 0.0211253 0.00650962 0.868344 0.931874 129.059 300.553 47.3667 38.8199 0.193112
11 4.30544e-05 -1 0.00121667 0.0207273 0.00250544 0.867521 0.932069 129.067 300.552 47.5107 38.5934 0.190522
12 4.19775e-05 -1 0.0101434 0.0201391 0.0114387 0.866684 0.932257 129.079 300.551 47.6577 38.3734 0.187803
13 4.09819e-05 -1 0.0187428 0.0197221 0.0200605 0.865897 0.932438 129.091 300.551 47.7953 38.1579 0.18486
14 4.00561e-05 -1 0.0271384 0.019155 0.0284787 0.865117 0.932618 129.099 300.55 47.9309 37.9498 0.182439
15 3.91439e-05 -1 0.0355442 0.0186655 0.0369055 0.864329 0.932783 129.113 300.55 48.0689 37.7433 0.179793
16 3.82806e-05 -1 0.043711 0.0180203 0.045095 0.863554 0.932948 129.125 300.55 48.2039 37.5442 0.177418
17 3.74536e-05 -1 0.0516419 0.0174219 0.0530486 0.862811 0.933107 129.14 300.55 48.3334 37.3497 0.174667
