epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
-1 -1 -1 -1 -1 -1 -1 -1 -1 301.424 50.5751 40.6512 -1
0 0.00921418 -1 0.0205784 0.201186 0.0165986 0.866913 0.936659 124.61 298.874 47.9289 37.9666 0.0927581
1 0.000285941 -1 0.013664 0.161854 0.010678 0.863419 0.93354 125.311 299.011 48.3124 38.7199 0.0942764
2 0.000211199 -1 0.00851825 0.165347 0.00564024 0.863493 0.934275 125.553 299.129 48.3593 38.5124 0.0915471
3 0.000208344 -1 0.00414064 0.1718 0.0012305 0.863838 0.935211 125.741 299.236 48.3709 38.26 0.0885067
4 0.000206314 -1 0.00125642 0.176694 0.0041582 0.8639 0.935982 125.942 299.339 48.4188 38.0302 0.0860714
5 0.000204462 -1 0.00523644 0.182207 0.00818086 0.864171 0.936773 126.109 299.433 48.4323 37.8101 0.0832929
6 0.000202971 -1 0.0103405 0.187437 0.0133462 0.864232 0.937506 126.271 299.521 48.475 37.5839 0.0815532
7 0.000201259 -1 0.0136824 0.192764 0.0166725 0.864552 0.938245 126.416 299.605 48.4768 37.381 0.0785617
8 0.000199877 -1 0.0172136 0.19665 0.0202849 0.864681 0.93882 126.561 299.682 48.4989 37.2107 0.0762953
9 0.000198675 -1 0.0215612 0.202281 0.0246421 0.864842 0.939535 126.687 299.756 48.5228 36.9926 0.0743168
10 0.00019748 -1 0.0248696 0.206501 0.0279889 0.864992 0.940092 126.799 299.82 48.5379 36.8241 0.0724259
11 0.000196391 -1 0.0279459 0.211252 0.0310888 0.865222 0.940699 126.905 299.885 48.5436 36.6459 0.0700953
12 0.000195427 -1 0.0315699 0.21497 0.0347831 0.865261 0.941189 127.015 299.945 48.5724 36.4865 0.0684407
13 0.000194537 -1 0.0348441 0.218719 0.038085 0.865351 0.941677 127.112 300 48.5919 36.3313 0.066806
14 0.000193612 -1 0.0373522 0.222676 0.0406252 0.865531 0.942154 127.186 300.047 48.5955 36.1858 0.0651488
15 0.000192797 -1 0.0398174 0.227096 0.0431121 0.865753 0.942669 127.263 300.097 48.5955 36.0321 0.0631749
16 0.000192145 -1 0.0430855 0.231378 0.0463838 0.86585 0.943156 127.332 300.141 48.6123 35.8717 0.0618062
17 0.000191475 -1 0.0455596 0.234095 0.0488709 0.865914 0.943505 127.409 300.184 48.6268 35.7581 0.0602988
18 0.000190694 -1 0.0482728 0.237788 0.0516239 0.86601 0.943924 127.469 300.223 48.6394 35.6196 0.0589345
19 0.000190148 -1 0.0505695 0.241712 0.0539421 0.866166 0.944346 127.513 300.257 48.6417 35.4844 0.0577431
20 0.000189673 -1 0.052018 0.245502 0.0553908 0.866427 0.944762 127.567 300.294 48.629 35.3649 0.0553961
21 0.000189116 -1 0.0553426 0.248395 0.0587662 0.866351 0.945084 127.617 300.324 48.6612 35.2392 0.0551085
22 0.000188634 -1 0.0569013 0.252227 0.0603478 0.866585 0.94549 127.658 300.357 48.6512 35.1176 0.053341
23 0.000188227 -1 0.0586916 0.255417 0.0621459 0.866726 0.945829 127.699 300.386 48.6513 35.0094 0.0519307
24 0.000187747 -1 0.0600833 0.25855 0.0635236 0.866898 0.946148 127.724 300.409 48.6444 34.9096 0.0506098
25 0.000187308 -1 0.0624717 0.261048 0.0659536 0.866899 0.946427 127.768 300.435 48.6624 34.8073 0.0495639
26 0.000187052 -1 0.0648212 0.264883 0.0683234 0.867006 0.946802 127.794 300.459 48.669 34.6781 0.0486888
27 0.00018666 -1 0.066076 0.266663 0.0695793 0.86707 0.946998 127.829 300.481 48.672 34.6131 0.0476682
28 0.000186286 -1 0.0676278 0.270098 0.0711842 0.86723 0.947333 127.849 300.502 48.6682 34.504 0.0463665
29 0.00018593 -1 0.0693051 0.272205 0.072802 0.867273 0.947551 127.872 300.519 48.6748 34.4258 0.0457052
30 0.000185731 -1 0.0710125 0.274944 0.0745232 0.867362 0.947827 127.896 300.539 48.6784 34.3312 0.0446567
31 0.000185475 -1 0.0722378 0.277514 0.0757586 0.867471 0.948067 127.911 300.554 48.676 34.2509 0.0436822
32 0.000185158 -1 0.0735517 0.280859 0.0770699 0.867635 0.948369 127.909 300.565 48.6682 34.1505 0.0430012
33 0.000184979 -1 0.0756301 0.282425 0.0791786 0.867568 0.948538 127.948 300.586 48.69 34.0804 0.0421572
34 0.000184722 -1 0.0762628 0.28517 0.0797855 0.867769 0.948792 127.951 300.598 48.6744 34.0034 0.0411309
35 0.000184431 -1 0.0780799 0.287302 0.0816919 0.867769 0.949004 127.972 300.614 48.6874 33.9218 0.0404002
36 0.000184207 -1 0.0792797 0.290087 0.0828884 0.867896 0.949255 127.976 300.625 48.6828 33.8369 0.0396159
37 0.000183946 -1 0.0798908 0.292331 0.083521 0.868032 0.949449 127.982 300.636 48.6737 33.776 0.0385937
38 0.000183721 -1 0.0816754 0.294415 0.0853382 0.868025 0.949644 127.998 300.649 48.6865 33.699 0.0380046
39 0.000183697 -1 0.0824517 0.296382 0.0860144 0.868145 0.949826 128.006 300.659 48.6793 33.6406 0.0370812
40 0.00018351 -1 0.0836822 0.298629 0.0872249 0.868222 0.950031 128.009 300.668 48.6795 33.5674 0.036473
41 0.000183185 -1 0.0845771 0.300364 0.0881861 0.868279 0.950187 128.014 300.676 48.6799 33.5114 0.0359805
42 0.000183115 -1 0.0857316 0.303277 0.0894035 0.868392 0.950428 128.014 300.686 48.6769 33.4274 0.0353173
43 0.000183008 -1 0.0870116 0.30448 0.0906998 0.868376 0.95055 128.029 300.696 48.6869 33.3775 0.034653
44 0.00018271 -1 0.087357 0.306973 0.0910156 0.868567 0.950763 128.016 300.7 48.6698 33.312 0.0338967
45 0.000182734 -1 0.0886218 0.30798 0.0922451 0.868535 0.950862 128.036 300.711 48.6811 33.2699 0.0335272
46 0.000182526 -1 0.0893367 0.310504 0.0931044 0.868668 0.951081 128.035 300.719 48.6742 33.1968 0.0325472
47 0.000182435 -1 0.0911631 0.312746 0.0948297 0.868653 0.951256 128.029 300.723 48.6854 33.1223 0.0327446
48 0.000182196 -1 0.0912777 0.315007 0.0949716 0.868842 0.951445 128.023 300.729 48.6683 33.0666 0.0317647
49 0.000182148 -1 0.092153 0.316754 0.0958903 0.868901 0.951596 128.025 300.735 48.6683 33.0117 0.0311577
50 0.000182131 -1 0.0926176 0.318288 0.0963019 0.868996 0.951727 128.026 300.742 48.6619 32.9692 0.0304138
51 0.000181972 -1 0.093408 0.320045 0.0971854 0.869049 0.951869 128.021 300.745 48.6615 32.916 0.0300609
52 0.000181845 -1 0.0940434 0.321112 0.0976549 0.869101 0.951965 128.023 300.75 48.6593 32.8827 0.0296074
53 0.000181771 -1 0.0952596 0.322811 0.0989531 0.869111 0.952114 128.034 300.759 48.6671 32.8238 0.0289738
54 0.000181652 -1 0.0955269 0.325496 0.0992201 0.869298 0.952316 128.015 300.761 48.6503 32.7604 0.0284358
55 0.000181584 -1 0.0966543 0.326426 0.100321 0.869264 0.952401 128.017 300.764 48.6599 32.7205 0.028516
56 0.000181492 -1 0.0973133 0.328311 0.100988 0.869358 0.952559 128.026 300.774 48.6562 32.6681 0.0275058
57 0.000181573 -1 0.0981286 0.328969 0.101849 0.86932 0.952611 128.02 300.773 48.6637 32.6401 0.0276703
58 0.000181269 -1 0.0989533 0.330504 0.102679 0.869363 0.952741 128.018 300.777 48.6646 32.5912 0.0273896
59 0.000181245 -1 0.0986863 0.332622 0.102424 0.869559 0.952894 128.004 300.779 48.6442 32.5488 0.0266788
60 0.000181258 -1 0.100342 0.334114 0.104066 0.869504 0.953016 128.005 300.783 48.6592 32.4913 0.0267292
61 0.000181216 -1 0.100765 0.334362 0.104584 0.869491 0.953055 128.02 300.79 48.664 32.4751 0.0260563
62 0.000180911 -1 0.100752 0.336272 0.10444 0.869663 0.953199 128.008 300.792 48.6467 32.4341 0.0254932
63 0.000181014 -1 0.101442 0.337058 0.10514 0.869656 0.953266 128.003 300.792 48.6509 32.4039 0.0254172
64 0.000180893 -1 0.101926 0.339577 0.105631 0.869806 0.953456 127.99 300.795 48.6398 32.3409 0.0248824
65 0.000180849 -1 0.10327 0.340082 0.106977 0.869706 0.953503 127.991 300.796 48.6565 32.3087 0.0252299
66 0.00018078 -1 0.102612 0.34177 0.1063 0.869917 0.953627 127.985 300.8 48.6331 32.2813 0.0243183
67 0.00018081 -1 0.104022 0.343051 0.10771 0.869874 0.953735 127.987 300.804 48.6455 32.2311 0.0242334
68 0.000180743 -1 0.103633 0.344463 0.107432 0.87002 0.953839 127.98 300.807 48.6303 32.2039 0.0234983
69 0.000180624 -1 0.104437 0.345647 0.108245 0.870026 0.953929 127.97 300.806 48.6337 32.1648 0.0234346
70 0.000180589 -1 0.104227 0.347158 0.108024 0.870176 0.954046 127.965 300.809 48.6189 32.133 0.0228488
71 0.000180548 -1 0.10565 0.348302 0.109359 0.870123 0.954134 127.966 300.812 48.6316 32.0894 0.0228341
72 0.000180522 -1 0.106557 0.348799 0.110322 0.870068 0.954184 127.97 300.815 48.6423 32.062 0.022763
73 0.000180478 -1 0.105857 0.349811 0.109574 0.870237 0.95426 127.96 300.815 48.6219 32.0488 0.022108
74 0.000180437 -1 0.106853 0.350948 0.110615 0.870206 0.954339 127.957 300.816 48.6306 32.0109 0.0221967
75 0.00018038 -1 0.10781 0.352156 0.111568 0.870206 0.954439 127.957 300.82 48.6364 31.9686 0.0219156
76 0.000180171 -1 0.10767 0.353413 0.11139 0.870331 0.954536 127.946 300.82 48.6234 31.9408 0.0215044
77 0.000180335 -1 0.108117 0.354875 0.111843 0.870393 0.954638 127.941 300.822 48.6202 31.9044 0.0212013
78 0.000180296 -1 0.108533 0.354876 0.112289 0.870355 0.954646 127.944 300.824 48.626 31.8962 0.0213046
