epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
-1 -1 -1 -1 -1 -1 -1 -1 -1 301.663 49.959 41.2672 -1
0 0.0306552 -1 0.150873 0.0294751 0.154835 0.813952 0.918789 132.054 300.904 57.426 40.1236 0.394811
1 0.00371374 -1 0.348495 0.0899566 0.348489 0.768568 0.9162 133.432 300.743 64.5554 36.6912 0.559022
2 0.000487849 -1 0.398561 0.089089 0.398023 0.764409 0.917678 133.293 300.69 65.0402 34.9477 0.55172
3 0.000421735 -1 0.439188 0.085929 0.439075 0.761701 0.918985 133.135 300.642 65.3185 33.434 0.54317
4 0.000390322 -1 0.474726 0.0817475 0.475081 0.759563 0.920081 132.992 300.603 65.5265 32.0817 0.537275
5 0.000366033 -1 0.505798 0.0791222 0.506514 0.757806 0.921068 132.886 300.571 65.695 30.8838 0.531976
6 0.00034674 -1 0.532461 0.0765502 0.53349 0.756685 0.921991 132.79 300.546 65.7811 29.82 0.526877
7 0.00033075 -1 0.556549 0.0740729 0.557817 0.755689 0.922798 132.697 300.522 65.8565 28.8533 0.524209
8 0.000317971 -1 0.577359 0.0716117 0.578853 0.755214 0.92356 132.623 300.505 65.8643 27.986 0.520503
9 0.000307396 -1 0.595669 0.0705232 0.597358 0.754863 0.924298 132.558 300.49 65.8622 27.2122 0.517649
10 0.000298149 -1 0.612242 0.0689429 0.614076 0.75471 0.924968 132.493 300.476 65.835 26.4999 0.515838
11 0.000290376 -1 0.627233 0.0678897 0.629203 0.754603 0.925585 132.447 300.464 65.8073 25.8488 0.514326
12 0.00028365 -1 0.640668 0.0672633 0.642753 0.7546 0.926182 132.394 300.452 65.7676 25.2563 0.513797
13 0.0002777 -1 0.652337 0.0673371 0.654528 0.754823 0.92678 132.355 300.443 65.7 24.7247 0.512216
14 0.000272439 -1 0.662785 0.067059 0.665012 0.755262 0.927368 132.308 300.436 65.6026 24.2357 0.511134
15 0.00026786 -1 0.672629 0.0673667 0.674931 0.755538 0.927898 132.275 300.428 65.5326 23.7794 0.511339
16 0.000263581 -1 0.681372 0.0679121 0.683742 0.755938 0.928423 132.244 300.421 65.4473 23.3628 0.511004
17 0.000259677 -1 0.688691 0.0690869 0.691113 0.756558 0.92898 132.211 300.415 65.3315 22.997 0.510283
18 0.000256203 -1 0.695796 0.0703573 0.698252 0.757018 0.929476 132.19 300.41 65.2424 22.6498 0.510459
19 0.000252595 -1 0.701941 0.0723095 0.704359 0.75757 0.92999 132.168 300.404 65.1413 22.3428 0.51066
20 0.000249462 -1 0.707378 0.0741131 0.709826 0.758209 0.930491 132.144 300.399 65.0285 22.0589 0.510978
21 0.000246449 -1 0.712098 0.0767386 0.714581 0.758803 0.930988 132.128 300.393 64.9249 21.8094 0.511357
22 0.00024343 -1 0.715977 0.0790157 0.718394 0.759696 0.931512 132.076 300.389 64.7777 21.5856 0.511118
23 0.000240666 -1 0.719755 0.0820636 0.722161 0.760289 0.931981 131.992 300.385 64.6775 21.3798 0.51223
24 0.000237665 -1 0.722762 0.0855989 0.725126 0.760951 0.932449 131.901 300.384 64.5708 21.2064 0.512609
25 0.000234785 -1 0.725003 0.0889745 0.727332 0.761815 0.932951 131.819 300.38 64.4325 21.0569 0.513479
26 0.000231806 -1 0.727058 0.0927478 0.729303 0.762545 0.93341 131.734 300.378 64.3171 20.9249 0.514515
27 0.000228947 -1 0.728253 0.097073 0.730433 0.763346 0.933888 131.652 300.375 64.1924 20.8262 0.515221
28 0.000225885 -1 0.728689 0.101584 0.730764 0.764282 0.934378 131.566 300.374 64.05 20.7562 0.515728
29 0.00022283 -1 0.72877 0.106404 0.730768 0.765141 0.934841 131.484 300.374 63.9209 20.7047 0.516547
30 0.000219466 -1 0.728103 0.111175 0.729973 0.766197 0.935335 131.401 300.373 63.762 20.6786 0.517279
31 0.000216303 -1 0.727282 0.116727 0.729047 0.766956 0.935766 131.324 300.373 63.652 20.6724 0.519056
32 0.000212701 -1 0.725495 0.122546 0.727073 0.767939 0.936234 131.245 300.373 63.5092 20.7004 0.520283
33 0.000209176 -1 0.722992 0.127985 0.724431 0.769105 0.936707 131.161 300.375 63.3399 20.7474 0.520786
34 0.000205372 -1 0.720013 0.13438 0.721284 0.770087 0.937157 131.086 300.376 63.2011 20.8236 0.522505
35 0.000201249 -1 0.716482 0.140732 0.717576 0.77111 0.937594 131.015 300.377 63.0573 20.9207 0.524407
36 0.000196941 -1 0.712105 0.147078 0.712998 0.772291 0.938032 130.932 300.382 62.8933 21.0449 0.525275
37 0.000192619 -1 0.707356 0.153963 0.70802 0.773326 0.938445 130.863 300.385 62.7526 21.1913 0.527512
38 0.000187962 -1 0.701387 0.16056 0.701797 0.774693 0.938888 130.787 300.39 62.5629 21.3695 0.528742
39 0.000183088 -1 0.695302 0.167747 0.695474 0.77575 0.939262 130.717 300.395 62.4238 21.5647 0.530845
40 0.000178009 -1 0.68812 0.174195 0.688026 0.777161 0.939662 130.643 300.401 62.2306 21.7843 0.532445
41 0.000172823 -1 0.680126 0.181488 0.679746 0.778526 0.940058 130.575 300.408 62.0484 22.0346 0.534148
42 0.000167215 -1 0.671982 0.188537 0.671349 0.779712 0.940383 130.513 300.415 61.8954 22.2959 0.536742
43 0.000161588 -1 0.662707 0.195831 0.661752 0.781123 0.940737 130.447 300.424 61.7103 22.5869 0.53862
44 0.00015573 -1 0.652641 0.202835 0.651362 0.782644 0.941084 130.386 300.433 61.5088 22.8969 0.540692
45 0.00014982 -1 0.642416 0.209754 0.640861 0.783988 0.941359 130.326 300.444 61.3383 23.2166 0.542968
46 0.000143685 -1 0.63143 0.21673 0.629551 0.78542 0.941641 130.272 300.455 61.1551 23.5554 0.545608
47 0.000137494 -1 0.620208 0.22318 0.618003 0.786798 0.941872 130.227 300.465 60.98 23.902 0.548853
48 0.000131207 -1 0.607533 0.229949 0.605014 0.788489 0.942153 130.17 300.478 60.7603 24.2756 0.550509
49 0.000125 -1 0.595259 0.235983 0.592431 0.789934 0.942339 130.125 300.491 60.5778 24.6449 0.553418
50 0.000118743 -1 0.582453 0.242199 0.579324 0.791401 0.942525 130.084 300.502 60.3935 25.0245 0.556199
51 0.000112536 -1 0.568961 0.24813 0.565526 0.793024 0.942719 130.043 300.515 60.1854 25.4128 0.558646
52 0.000106426 -1 0.555516 0.253578 0.551826 0.794546 0.942857 130.005 300.529 59.993 25.7994 0.561214
53 0.000100461 -1 0.541853 0.258937 0.537883 0.796079 0.942987 129.971 300.543 59.7998 26.187 0.563753
54 9.46782e-05 -1 0.528205 0.263761 0.524029 0.79755 0.943079 129.944 300.556 59.6152 26.5718 0.566766
55 8.90557e-05 -1 0.514107 0.268738 0.509693 0.799151 0.943198 129.914 300.57 59.4111 26.957 0.568962
56 8.3629e-05 -1 0.500779 0.273517 0.496155 0.800481 0.943258 129.893 300.583 59.2499 27.3284 0.571913
57 7.84677e-05 -1 0.487034 0.276989 0.482231 0.80201 0.9433 129.871 300.597 59.0521 27.6985 0.574332
58 7.36137e-05 -1 0.473612 0.280613 0.468684 0.803426 0.943329 129.852 300.611 58.8736 28.0583 0.576827
59 6.88359e-05 -1 0.460439 0.284587 0.455387 0.804782 0.943368 129.837 300.624 58.7054 28.407 0.579174
60 6.45157e-05 -1 0.447656 0.28712 0.442496 0.806131 0.943351 129.822 300.637 58.5324 28.7444 0.581658
61 6.04135e-05 -1 0.434769 0.290068 0.429514 0.80754 0.943369 129.807 300.651 58.3517 29.074 0.583477
62 5.65827e-05 -1 0.422452 0.29268 0.417141 0.808845 0.943365 129.796 300.664 58.1851 29.3885 0.585438
63 5.30297e-05 -1 0.41059 0.294962 0.405231 0.810081 0.943349 129.791 300.675 58.027 29.6902 0.587611
64 4.97313e-05 -1 0.399194 0.296934 0.3938 0.811273 0.94332 129.784 300.687 57.8745 29.978 0.589577
65 4.66831e-05 -1 0.38801 0.298649 0.382603 0.812483 0.943293 129.777 300.698 57.7166 30.2547 0.591198
66 4.38756e-05 -1 0.377076 0.300194 0.371692 0.81369 0.943272 129.771 300.709 57.5578 30.5193 0.592557
67 4.12979e-05 -1 0.366866 0.301072 0.361502 0.814788 0.943217 129.77 300.719 57.4121 30.7705 0.5943
68 3.89394e-05 -1 0.356945 0.302556 0.351607 0.815864 0.943198 129.769 300.729 57.2717 31.0073 0.59567
69 3.67613e-05 -1 0.347542 0.303456 0.342254 0.816885 0.943151 129.765 300.74 57.1372 31.2328 0.596762
70 3.48224e-05 -1 0.3383 0.303937 0.333067 0.817934 0.94311 129.768 300.749 56.9938 31.4497 0.598136
71 3.29994e-05 -1 0.329688 0.304441 0.324525 0.818886 0.943061 129.767 300.758 56.8656 31.6522 0.599081
72 3.13512e-05 -1 0.321509 0.304647 0.316406 0.8198 0.943006 129.769 300.766 56.7407 31.8443 0.60017
73 2.98376e-05 -1 0.313436 0.304932 0.308422 0.820734 0.942972 129.772 300.774 56.6118 32.0275 0.600992
74 2.84662e-05 -1 0.305882 0.30483 0.300947 0.821611 0.942919 129.772 300.783 56.4894 32.2004 0.601642
75 2.72205e-05 -1 0.2989 0.30513 0.294047 0.822381 0.942877 129.777 300.789 56.385 32.3606 0.602407
76 2.60729e-05 -1 0.291896 0.304709 0.287157 0.823215 0.942824 129.78 300.797 56.2656 32.5176 0.602928
77 2.50252e-05 -1 0.285207 0.304323 0.280534 0.824024 0.942779 129.784 300.803 56.1494 32.6662 0.603391
78 2.4048e-05 -1 0.278962 0.30391 0.274394 0.824768 0.94273 129.789 300.81 56.0426 32.8053 0.603862
79 2.31749e-05 -1 0.272893 0.303582 0.268415 0.825509 0.942693 129.792 300.817 55.9363 32.9374 0.604017
80 2.23595e-05 -1 0.267439 0.302876 0.263061 0.826144 0.942628 129.799 300.823 55.8438 33.0615 0.60445
81 2.16303e-05 -1 0.261655 0.301929 0.257358 0.826896 0.942581 129.805 300.829 55.7302 33.1856 0.604685
82 2.09144e-05 -1 0.256287 0.301434 0.25207 0.82757 0.942546 129.809 300.835 55.6316 33.2999 0.604538
83 2.02778e-05 -1 0.251417 0.30079 0.247312 0.828157 0.942498 129.815 300.841 55.5449 33.4064 0.604691
84 1.96887e-05 -1 0.246485 0.299727 0.242447 0.828807 0.942451 129.822 300.846 55.445 33.5118 0.6048
85 1.91335e-05 -1 0.241757 0.298467 0.237818 0.829426 0.942393 129.83 300.852 55.3484 33.6138 0.604852
86 1.86148e-05 -1 0.237298 0.297572 0.233434 0.83 0.942351 129.838 300.857 55.2604 33.709 0.604825
