epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
-1 -1 -1 -1 -1 -1 -1 -1 -1 301.505 52.2886 40.7685 -1
0 0.0509384 -1 0.161634 0.241897 0.159609 0.850402 0.920636 131.096 300.69 54.4494 45.7288 0.135059
1 0.0031611 -1 0.260977 0.333458 0.258703 0.857244 0.91925 131.011 300.577 57.2266 45.585 0.160594
2 0.000761375 -1 0.278672 0.291855 0.276313 0.864663 0.91928 130.991 300.742 55.782 45.325 0.158213
3 0.00067028 -1 0.292795 0.253243 0.290494 0.870847 0.919327 130.976 300.865 54.5203 45.0439 0.156885
4 0.000602768 -1 0.304734 0.218674 0.302653 0.876037 0.919371 130.959 300.937 53.4575 44.7359 0.154696
5 0.000549438 -1 0.315112 0.187202 0.313108 0.880543 0.919431 130.945 300.997 52.5408 44.4015 0.153853
6 0.000508571 -1 0.324823 0.159475 0.322937 0.884443 0.919484 130.929 301.024 51.8071 44.0332 0.152669
7 0.000475904 -1 0.332765 0.136559 0.330973 0.88759 0.919545 130.915 301.047 51.2441 43.6804 0.151944
8 0.000450231 -1 0.340767 0.114952 0.339056 0.890589 0.919608 130.904 301.068 50.7609 43.2888 0.151946
9 0.000429729 -1 0.34755 0.0958395 0.345896 0.893113 0.919676 130.889 301.069 50.3654 42.9125 0.150676
10 0.000413179 -1 0.35393 0.0795676 0.352421 0.895371 0.919744 130.877 301.079 50.0604 42.5411 0.150474
11 0.000399583 -1 0.358857 0.0651815 0.357425 0.89722 0.919826 130.865 301.083 49.7967 42.2134 0.149891
12 0.000388897 -1 0.363375 0.0515865 0.362009 0.898931 0.91991 130.852 301.083 49.5564 41.8887 0.148868
13 0.0003795 -1 0.367346 0.0391158 0.366029 0.900474 0.920001 130.842 301.095 49.3439 41.5833 0.148548
14 0.000372289 -1 0.372088 0.0286196 0.370819 0.901958 0.920081 130.83 301.093 49.1976 41.27 0.148423
15 0.000365421 -1 0.376306 0.0189951 0.375077 0.903299 0.920463 130.818 301.09 49.0644 40.9761 0.147946
16 0.000360242 -1 0.378831 0.0104837 0.377659 0.90432 0.921432 130.808 301.094 48.9258 40.7463 0.147544
17 0.000355393 -1 0.3825 0.0033254 0.381354 0.905391 0.922229 130.796 301.089 48.838 40.4983 0.147302
18 0.000351606 -1 0.384173 0.00356954 0.383131 0.90618 0.923028 130.785 301.088 48.719 40.3087 0.14636
19 0.000348136 -1 0.387178 0.00989205 0.386199 0.907107 0.923748 130.774 301.09 48.6394 40.0885 0.14638
20 0.000344775 -1 0.389869 0.0151915 0.388905 0.907903 0.924349 130.765 301.09 48.5736 39.8959 0.146484
21 0.000342092 -1 0.391603 0.0214153 0.390595 0.908627 0.925076 130.755 301.094 48.4712 39.7141 0.146254
22 0.000339774 -1 0.393438 0.0246091 0.392485 0.90918 0.925472 130.745 301.089 48.4242 39.5763 0.146131
23 0.000337532 -1 0.395148 0.0299655 0.394205 0.909838 0.926091 130.735 301.093 48.3414 39.4084 0.146218
