epoch loss acc W1MaxOvl W1LogNormRat ZMaxOvl HMaxOvl HOnesMaxOvl HMinNorm HOSV0 HOSV1 HOSV2 W2MinNorm
-1 -1 -1 -1 -1 -1 -1 -1 -1 301.466 52.457 42.1953 -1
0 0.00625376 -1 0.0462256 0.992311 0.0370701 0.905159 0.983307 118.552 298.2 46.4502 19.2865 0.0230393
1 0.000326758 -1 0.0799085 1.13368 0.0695141 0.906891 0.987062 118.22 298.206 46.5065 16.8894 0.0172829
2 7.0925e-05 -1 0.0790251 1.11677 0.0694606 0.906425 0.986616 118.32 298.227 46.5184 17.1855 0.0159008
3 2.38905e-05 -1 0.0752323 1.09805 0.06639 0.906129 0.986148 118.397 298.24 46.5171 17.4968 0.0156171
4 1.47625e-05 -1 0.0729162 1.0891 0.0644441 0.906027 0.985927 118.44 298.249 46.5137 17.644 0.0155532
5 1.29795e-05 -1 0.0713981 1.08508 0.0631272 0.906014 0.985831 118.464 298.255 46.5097 17.7105 0.0154724
6 1.26279e-05 -1 0.0705102 1.08338 0.0623306 0.906028 0.985791 118.479 298.259 46.5066 17.7389 0.0152524
7 1.25533e-05 -1 0.0696291 1.08275 0.0615351 0.906071 0.985779 118.49 298.264 46.5027 17.7502 0.0151039
8 1.25346e-05 -1 0.0689267 1.08231 0.0608938 0.906107 0.985771 118.501 298.268 46.4995 17.7585 0.0148926
9 1.25278e-05 -1 0.0680757 1.08181 0.0600831 0.906153 0.98576 118.512 298.272 46.4956 17.7687 0.0147879
10 1.25246e-05 -1 0.0674549 1.08145 0.0595226 0.906185 0.985753 118.524 298.277 46.4927 17.7762 0.0146541
11 1.25211e-05 -1 0.0665532 1.081 0.0586399 0.906236 0.985744 118.534 298.281 46.4884 17.7861 0.0145538
12 1.25155e-05 -1 0.0657497 1.08017 0.0579088 0.906266 0.985724 118.547 298.286 46.4852 17.8019 0.0144414
13 1.25157e-05 -1 0.0649473 1.08006 0.0571587 0.906318 0.985724 118.555 298.289 46.4813 17.8051 0.0142805
14 1.25114e-05 -1 0.0644039 1.07952 0.0566371 0.906343 0.985712 118.566 298.293 46.4787 17.8153 0.0140393
15 1.25083e-05 -1 0.0637006 1.07909 0.0559731 0.90638 0.985703 118.577 298.298 46.4755 17.824 0.0139077
16 1.25041e-05 -1 0.0629924 1.0789 0.0553148 0.906423 0.9857 118.586 298.301 46.4721 17.829 0.0137278
17 1.25036e-05 -1 0.0622482 1.07843 0.054633 0.90646 0.98569 118.597 298.306 46.4689 17.8383 0.0136381
18 1.24962e-05 -1 0.0616476 1.07799 0.0540522 0.906491 0.985681 118.608 298.31 46.4661 17.847 0.0134156
19 1.24954e-05 -1 0.0607782 1.07741 0.053226 0.906535 0.985668 118.619 298.314 46.4622 17.8588 0.0133996
20 1.24922e-05 -1 0.0601292 1.07686 0.0526223 0.906564 0.985656 118.631 298.318 46.4594 17.8694 0.0132651
21 1.24896e-05 -1 0.0596488 1.07673 0.0521694 0.906596 0.985655 118.64 298.322 46.457 17.8724 0.0130373
22 1.24859e-05 -1 0.0591624 1.07623 0.051724 0.906615 0.985643 118.651 298.326 46.4549 17.8823 0.0128049
23 1.24801e-05 -1 0.0583865 1.076 0.0509818 0.906663 0.98564 118.661 298.331 46.4513 17.8875 0.012791
24 1.24798e-05 -1 0.0575244 1.0753 0.0501607 0.906703 0.985623 118.672 298.335 46.4476 17.9013 0.0127367
25 1.24784e-05 -1 0.0569562 1.0749 0.0496349 0.906731 0.985615 118.682 298.338 46.445 17.9093 0.0125188
26 1.24739e-05 -1 0.0563982 1.07429 0.049112 0.906754 0.985601 118.695 298.343 46.4427 17.9208 0.0124788
27 1.24707e-05 -1 0.0556164 1.07412 0.0483562 0.906803 0.985598 118.704 298.347 46.439 17.9256 0.0123596
28 1.2466e-05 -1 0.055097 1.07397 0.0478758 0.906836 0.985597 118.715 298.351 46.4365 17.9291 0.0122814
29 1.24663e-05 -1 0.0545768 1.07338 0.0473814 0.906856 0.985583 118.725 298.355 46.4343 17.94 0.0120172
30 1.24626e-05 -1 0.0538677 1.07271 0.0467088 0.906887 0.985567 118.736 298.359 46.4313 17.953 0.011921
31 1.24596e-05 -1 0.0532358 1.07234 0.0461201 0.90692 0.98556 118.747 298.363 46.4286 17.9604 0.0118827
32 1.24545e-05 -1 0.0524613 1.07209 0.0453823 0.906966 0.985555 118.755 298.367 46.425 17.9662 0.0117941
33 1.2455e-05 -1 0.0521575 1.07168 0.0451139 0.906978 0.985547 118.768 298.372 46.4238 17.9738 0.0116608
34 1.24504e-05 -1 0.0516679 1.07149 0.0446544 0.907007 0.985544 118.778 298.376 46.4215 17.978 0.011513
